1,324234234234234232,算法,1,2016-03-20,13437279141,3774,,2581
2,055195914266562335,东杨,1,2016-03-19,13437279141,3774,,2581
3,562207359758065239,纪玉,0,2018-07-12,13457533432,4806,,1737
4,783214469707646621,籍桂荣,1,2012-06-14,13918854190,6985,,6669
5,876415512922866174,西建华,0,2015-10-13,13934582625,5787,,1028
6,109922523260347723,孙建平,0,2016-04-10,13715782409,7283,,9147
7,648363304399206568,曹凤兰,1,2014-06-15,13183910104,3688,,1005
8,565149353215128166,屠建军,0,2015-06-28,13156337447,530,,8121
9,460030103059225108,昌涛,1,2010-08-04,13841986191,9797,,8774
10,657678184037986896,温梅,1,2010-05-29,13505914330,9354,,4820
11,663400473678154223,董丽华,0,2013-02-02,13593611501,3037,,3122
12,031240220024531859,文秀芳,1,2018-05-05,13286220469,1033,,8988
13,894310846108424788,孙鹏,0,2011-01-24,13455348806,9165,,6016
14,039990759224131342,东秀梅,0,2013-11-05,13054573234,9391,,2913
15,765312521829435187,益刚,1,2011-09-19,13999444142,7254,,5382
16,850376022589314869,孟雪梅,1,2015-12-17,13307464794,6254,,2132
17,457897338459064016,延红,0,2017-12-19,13514471205,8499,,4261
18,072864745460932843,黄冬梅,1,2019-06-19,13121408248,4207,,2699
19,305276512743551485,朱健,1,2015-06-14,13138874363,7518,,2381
20,280870077100718907,宗婷婷,1,2017-06-02,13539065978,7964,,5229
21,398392833508617064,唐秀珍,0,2011-03-30,13979836337,2636,,8223
22,121154284722448137,姬洁,1,2016-01-01,13661430197,3166,,5882
23,565831919704109819,应雪,0,2010-10-13,13639262418,8828,,6028
24,040998884144008168,游莹,0,2018-03-05,13231859906,658,,8198
25,062228423204007726,聂春梅,1,2012-01-20,13197495268,9199,,9229
26,775765623214383003,娄成,0,2019-11-25,13481582360,5791,,1704
27,321412532984211400,汝杨,0,2019-06-14,13159035018,4451,,3073
28,176323704476082124,丘阳,1,2013-03-22,13398718356,3537,,2756
29,487355398993254325,邓玉英,1,2016-03-18,13372493629,8919,,607
30,178762633631542459,鲁瑜,1,2019-04-15,13185327193,433,,702
31,605300909353533054,南玲,0,2014-02-17,13465396718,3435,,6008
32,328829459356865485,谈云,0,2017-11-01,13878534850,9254,,8190
33,024029011614443776,尉莉,0,2016-05-21,13780526701,8283,,1777
34,550660640909364195,支建军,0,2010-09-20,13112711948,2724,,1039
35,436008896135682535,沈桂荣,1,2019-08-06,13626649959,4544,,5909
36,866007158292819964,通凯,1,2014-09-03,13243500954,9955,,7358
37,599953297480341748,薛英,1,2019-05-21,13691497430,9981,,2569
38,662039237686082714,尚丽,1,2013-01-29,13524079637,1736,,264
39,055109044203927273,文海燕,1,2013-06-08,13556153209,4603,,1030
40,895156479543512864,马杰,0,2015-11-22,13087187046,8271,,2776
41,298562691693844292,门红梅,1,2014-12-11,13392697159,1420,,902
42,080018234241361203,衡桂芳,0,2016-12-10,13008980121,5125,,1348
43,970347645302552628,齐斌,1,2010-01-10,13760056372,2747,,6999
